indexer,indexer_vps_provider,indexer_location,indexing_agreements,score
0x8fa75d001fab9f1c68e89afdd891fdaa61dfd704,AS24940 Hetzner Online GmbH,"60,20",262,0.9108063686424386
0x2b1ca69d13051e51da75ea0a9af5b4a6efe2418c,AS24940 Hetzner Online GmbH,"60,20",242,0.8818937077803526
0xd0d1e3045748f13c71ccd1b436abffaa608828b0,"AS13335 Cloudflare, Inc.","40,-120",233,0.8710322758329
0xb85ef17d0bb06cf04aea8612725416c326dda7e5,AS16276 OVH SAS,"40,-120",210,0.8187664261736417
0x5b88585322edeb3d643f88c66435e38cca398ac8,AS24940 Hetzner Online GmbH,"60,20",153,0.8091039982841788
0x250cfe08a68a7660dfc8591caa228a58c56113df,AS396982 Google LLC,"40,-100",114,0.7992885783339159
0xdcf7d792690f8920d76a3d34402f88d71ab4f3a2,AS24940 Hetzner Online GmbH,"60,20",125,0.7985330368087327
0x2842ad9e5959a5c3a7334753fc8b467823aa5c4e,"AS13335 Cloudflare, Inc.","40,-120",192,0.7954445244327001
0xc4450d587a857f143c401029695cec9d4e52cbef,"AS13335 Cloudflare, Inc.","40,-120",184,0.7789283010027981
0xa535e33850a889a2e2a629ca4650c51a710c2c6c,"AS13335 Cloudflare, Inc.","40,-120",117,0.7781577230161798
0xe7335d1813a826abee5f3a4b65d600c2dd847342,"AS13335 Cloudflare, Inc.","40,-120",86,0.76678482536558
0x6163527853333f29daccc8a744db6b57b1f6bb7f,"AS14061 DigitalOcean, LLC","60,0",191,0.7632069774962706
0xdb8cb2564684e61b54ac7afc85b6ff7871c62899,AS16276 OVH SAS,"60,0",190,0.7626256985578908
0x1d93fc0041e1286a0e8a037760a35c1caa11886f,AS24940 Hetzner Online GmbH,"60,20",188,0.7605138841408638
0x040fa886dd9891b0dbb4f34ed7218f1afffd1f0f,AS24940 Hetzner Online GmbH,"60,20",183,0.7593365905772744
0x8c7cb0c1e2b63fe9e6190c0074837367559ae3ff,AS396982 Google LLC,"40,-100",84,0.7394316604309994
0x36c9d9424b9d8566cad31cbcffae584a874617e0,AS396982 Google LLC,"40,-80",163,0.7286839609395861
0xa682824758f0ac35d255bb6901e17ec1c3d96dbb,AS8708 RCS & RDS SA,"40,20",185,0.7270674687582372
0xfdbe9d13c9e225f5ce46e0478338483821a91135,"AS13335 Cloudflare, Inc.","40,-120",89,0.7214827926258872
0x3e2814ff198499fe2af786284055627f38ac2062,"AS19969 Joe's Datacenter, LLC","40,-100",155,0.7189743488178113
0xfb481d4b6cabdedf7fc6d16983958d8ea0199328,AS24940 Hetzner Online GmbH,"60,20",92,0.7108222327946008
0x618fd21a7c992382e89cfbd4c9c83d61a123f007,AS24940 Hetzner Online GmbH,"40,20",168,0.7085422956127065
0xdc2a184047b02550d6f174c1ab32b6c15f710ee5,AS8708 RCS & RDS SA,"40,20",156,0.7018215165911921
0x8ca09a7a5c4219b5228b2c7b9b685b5810040565,AS8708 RCS & RDS SA,"40,20",158,0.6989454451652072
0x7c2f0039d9ec0f1f80f4788fa1b1ee5dd52e9c47,AS13649 Flexential Colorado Corp.,"20,-80",126,0.6988951881665308
0x35436e76325165c6ffdf235e0a8579e547e45ef6,"AS13335 Cloudflare, Inc.","40,-120",64,0.6911560616817016
0xb3a050d0ab3e0ed14cf60a316929bb665f8f5915,AS24940 Hetzner Online GmbH,"60,20",145,0.6827669725506427
0xa0e1c7d2a13b4ed9c086cb6bb220159a1cea3183,"AS13335 Cloudflare, Inc.","40,-120",148,0.6740296271547142
0xdaa4ddf7d228a020cb8978ef33cdc8e363e11a4f,"AS13335 Cloudflare, Inc.","40,-120",82,0.6715712366805608
